time,fps_avg,fps_max,fps_min,cpu,ram_gb,gpu,vram_mb,gpu_power_w,latency_ms,yolo_ms,lk_ms,kalman_ms,total_pipeline_ms
1772915479.2452905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.925668716430664,7139.710187911987,0.014543533325195312,0.0,7166.250705718994
1772915479.3689845,16.077326845597923,32.017343379058175,0.13731031213766937,57.5,5.694988250732422,1.0,243.0,8.34,46.96452617645264,0.0,0.01049041748046875,0.0,7.189273834228516
1772915479.5913606,12.236393236141494,32.017343379058175,0.13731031213766937,51.3,5.6677398681640625,1.0,243.0,8.34,55.115699768066406,0.0,0.0152587890625,0.0,9.986639022827148
1772915479.7064779,11.258145543378244,32.017343379058175,0.13731031213766937,46.5,5.679405212402344,1.0,243.0,8.35,55.86928129196167,0.0,0.010013580322265625,0.0,4.990100860595703
1772915479.907062,10.003230889816862,32.017343379058175,0.13731031213766937,33.0,5.686176300048828,1.0,243.0,8.34,56.4239501953125,0.0,0.010013580322265625,0.0,4.911661148071289
1772915480.190129,9.137451311977259,32.017343379058175,0.13731031213766937,42.7,5.670146942138672,0.0,243.0,8.32,63.65605195363362,72.6470947265625,0.012636184692382812,0.0,80.00516891479492
1772915480.2948854,8.632091359046145,32.017343379058175,0.13731031213766937,42.6,5.6851654052734375,0.0,243.0,8.35,60.97442763192313,0.0,0.010728836059570312,0.0,6.196737289428711
1772915480.4970512,8.170391188663498,32.017343379058175,0.13731031213766937,39.3,5.686683654785156,0.0,243.0,8.35,59.255897998809814,0.0,0.009059906005859375,0.0,5.8765411376953125
1772915480.7084377,7.789402282249098,32.017343379058175,0.13731031213766937,36.0,5.690746307373047,0.0,243.0,8.37,59.11424424913195,0.0,0.04482269287109375,0.0,6.34002685546875
1772915480.906919,7.512983344334401,32.017343379058175,0.13731031213766937,25.2,5.705879211425781,0.0,243.0,8.37,58.88562202453613,0.0,0.009059906005859375,0.0,5.839347839355469
1772915481.1697848,7.26813221240968,32.017343379058175,0.13731031213766937,32.7,5.692737579345703,0.0,243.0,8.36,59.365424242886625,54.17943000793457,0.012874603271484375,0.0,61.216115951538086
1772915481.280953,7.163789651420994,32.017343379058175,0.13731031213766937,36.0,5.698291778564453,0.0,243.0,8.39,59.71789360046387,0.0,0.010251998901367188,0.0,6.159543991088867
1772915481.3813605,7.39726850143959,32.017343379058175,0.13731031213766937,33.6,5.692409515380859,0.0,243.0,8.36,59.860321191641006,0.0,0.011920928955078125,0.0,8.427619934082031
1772915481.490113,7.512826768019508,32.017343379058175,0.13731031213766937,28.6,5.693408966064453,0.0,243.0,8.36,60.757449695042204,0.0,0.013589859008789062,0.0,6.344318389892578
1772915481.6014957,7.609763799175425,32.017343379058175,0.13731031213766937,33.6,5.7041778564453125,0.0,243.0,8.36,60.07423400878906,0.0,0.014066696166992188,0.0,6.213665008544922
1772915481.8544364,7.437048781731097,32.017343379058175,0.13731031213766937,32.4,5.690708160400391,0.0,243.0,8.35,59.86350774765015,46.52690887451172,0.014066696166992188,0.0,52.805185317993164
1772915481.9580169,7.391405591750853,32.017343379058175,0.13731031213766937,31.1,5.687812805175781,0.0,243.0,8.4,60.65949271706974,0.0,0.011205673217773438,0.0,6.263017654418945
1772915482.1665764,7.247874914672565,32.017343379058175,0.13731031213766937,29.8,5.685550689697266,0.0,243.0,8.42,59.94960996839735,0.0,0.014066696166992188,0.0,6.803274154663086
1772915482.3729746,7.122481397544844,32.017343379058175,0.13731031213766937,27.9,5.6933441162109375,0.0,243.0,8.37,59.59761770148026,0.0,0.015735626220703125,0.0,7.6847076416015625
1772915482.573421,7.014822688396096,32.017343379058175,0.13731031213766937,25.7,5.70501708984375,0.0,243.0,8.37,59.33488607406616,0.0,0.008821487426757812,0.0,6.899356842041016
1772915482.8179743,6.927954220261047,32.017343379058175,0.13731031213766937,22.9,5.692222595214844,0.0,243.0,8.38,58.74013900756836,52.1702766418457,0.010013580322265625,0.0,58.78639221191406
